City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,udachny,66.4167,112.4,21.36,68,93,6.51,RU,1689987754
117,fenoarivo be,-18.4333,46.5667,16.36,72,98,4.38,MG,1689988042
118,dalbandin,28.8947,64.4101,30.3,43,77,2.21,PK,1689988042
119,corner brook,48.9667,-57.9484,19.49,94,98,2.01,CA,1689988042
120,kolonia town,6.964,158.206,26.06,100,100,3.09,FM,1689988043
121,quellon,-43.1167,-73.6167,7.14,93,100,1.54,CL,1689988043
122,pedro ii,-4.4247,-41.4586,21.06,44,0,2.66,BR,1689987746
123,phongsali,21.6833,102.1058,20.48,85,100,0.44,LA,1689988044
124,nar'yan-mar,67.6713,53.087,9.53,91,98,6.11,RU,1689988044
125,pisco,-13.7,-76.2167,19.03,77,75,6.69,PE,1689988044
126,nuku'alofa,-21.1333,-175.2,26.19,78,40,2.57,TO,1689988045
127,las juntas,19.4167,-104.7,28.74,76,100,2.31,MX,1689988045
128,acapulco de juarez,16.8634,-99.8901,30.9,79,75,2.57,MX,1689988045
129,chegdomyn,51.1167,133.0167,22.94,46,100,1.75,RU,1689988046
130,glace bay,46.1969,-59.957,21.99,95,100,4.63,CA,1689988046
131,onega,63.9061,38.1404,12.77,98,88,2.36,RU,1689988046
132,viana do castelo,41.6932,-8.8329,16.46,91,8,2.83,PT,1689988047
133,punta arenas,-53.15,-70.9167,-2.16,92,100,2.39,CL,1689987429
134,saint joseph,39.7686,-94.8466,25.87,68,0,2.06,US,1689988047
135,palmer,42.1584,-72.3287,21.8,83,100,3.09,US,1689988012
136,zhezqazghan,47.7833,67.7667,16.32,51,0,3.0,KZ,1689988048
137,nabire,-3.3667,135.4833,28.83,72,16,1.65,ID,1689988048
138,andrews,32.3187,-102.5457,35.59,31,0,7.72,US,1689988049
139,port macquarie,-31.4333,152.9167,17.16,52,81,5.82,AU,1689987939
140,helston,50.1032,-5.2705,14.29,94,75,2.57,GB,1689988049
141,inhambane,-23.865,35.3833,17.83,75,89,2.41,MZ,1689988050
142,kununurra,-15.7667,128.7333,25.99,31,0,7.72,AU,1689988050
143,whitehorse,60.7161,-135.0538,17.43,88,100,4.63,CA,1689987801
144,iskateley,67.6803,53.1512,9.49,91,98,6.09,RU,1689988051
145,margaret river,-33.95,115.0667,13.48,69,17,1.9,AU,1689988051
146,fale old settlement,-9.3852,-171.2468,28.65,70,99,3.14,TK,1689988051
147,bubaque,11.2833,-15.8333,27.56,81,95,6.98,GW,1689988052
148,olonkinbyen,70.9221,-8.7187,5.77,81,100,2.26,SJ,1689988052
149,dhamar,14.5427,44.4051,18.93,50,100,0.59,YE,1689988052
150,metlili chaamba,32.2667,3.6333,33.76,12,0,3.25,DZ,1689988053
151,sao gabriel da cachoeira,-0.1303,-67.0892,24.2,81,6,0.49,BR,1689988053
152,kapuskasing,49.4169,-82.4331,15.53,59,2,1.82,CA,1689988053
153,usogorsk,63.4106,48.6872,14.03,97,100,1.91,RU,1689988054
154,birjand,32.8663,59.2211,20.7,24,11,5.17,IR,1689988054
155,alice springs,-23.7,133.8833,11.75,47,0,4.63,AU,1689988054
156,flying fish cove,-10.4217,105.6791,24.82,83,100,6.69,CX,1689988054
157,anadyr,64.75,177.4833,19.28,68,20,3.0,RU,1689988055
158,cockburn town,21.4612,-71.1419,27.92,82,95,7.05,TC,1689987932
159,kruisfontein,-34.0033,24.7314,11.02,77,100,2.27,ZA,1689988055
160,francisco sa,-16.4758,-43.4883,17.74,78,100,5.69,BR,1689988056
161,batamshinskiy,50.5594,58.2747,17.72,54,90,2.04,KZ,1689988056
162,murud,18.3258,72.965,25.55,93,100,5.14,IN,1689988056
163,santa cruz del norte,23.1539,-81.9236,28.83,77,20,3.73,CU,1689988057
164,albany,42.6001,-73.9662,21.3,91,0,3.26,US,1689988056
165,vimmerby,57.6659,15.8552,8.92,91,96,1.99,SE,1689988057
166,slantsy,59.1182,28.0914,11.59,93,100,3.25,RU,1689988058
167,tilcara,-23.5776,-65.3509,12.18,12,1,4.04,AR,1689988058
168,sur,22.5667,59.5289,29.95,68,84,1.77,OM,1689988058
169,kodiak,57.79,-152.4072,17.73,63,0,1.54,US,1689988059
170,tsiombe,-25.3,45.4833,18.34,70,0,5.09,MG,1689988038
171,vila franca do campo,37.7167,-25.4333,21.23,90,68,1.14,PT,1689988059
172,kharan,28.5833,65.4167,32.46,32,99,2.26,PK,1689988060
173,slyudyanka,51.6594,103.7061,19.03,65,34,0.83,RU,1689988060
174,cabo san lucas,22.8909,-109.9124,35.34,51,0,4.63,MX,1689988060
175,cantanhede,-3.6333,-44.3767,23.07,62,14,0.6,BR,1689987785
